Journal Name,Open Access Status,Online ISSN
"Adaptation","Hybrid","1755-0645"
"Aesthetic Surgery Journal","Hybrid","1527-330X"
"African Affairs","Hybrid","1468-2621"
"Age And Ageing","Hybrid","1468-2834"
"Alcohol And Alcoholism","Hybrid","1464-3502"
"American Entomologist","Hybrid","2155-9902"
"American Historical Review","Hybrid","1937-5239"
"American Journal of Clinical Pathology","Hybrid","1943-7722"
"American Journal of Comparative Law","Hybrid","2326-9197"
"American Journal Of Epidemiology","Hybrid","1476-6256"
"American Journal of Health-System Pharmacy","Hybrid","1535-2900"
"American Journal of Hypertension","Hybrid","1941-7225"
"American Journal of Legal History","Hybrid","2161-797X"
"American Law And Economics Review","Hybrid","1465-7260"
"American Literary History","Hybrid","1468-4365"
"Analysis","Hybrid","1467-8284"
"Annals of Behavioral Medicine","Hybrid","1532-4796"
"Annals Of Botany","Hybrid","1095-8290"
"Annals of the Entomological Society of America","Hybrid","1938-2901"
"Annals of the International Communication Association","Hybrid","2380-8977"
"Annals of Work Exposures and Health","Hybrid","2398-7316"
"Applied Linguistics","Hybrid","1477-450X"
"Arbitration International","Hybrid","1875-8398"
"Archives of Clinical Neuropsychology","Hybrid","1873-5843"
"Art History","Hybrid","1467-8365"
"Aristotelian Society Supplementary Volume","Hybrid","1467-8349"
"Behavioral Ecology","Hybrid","1465-7279"
"Biological Journal of the Linnean Society","Hybrid","1095-8312"
"Biology of Reproduction","Hybrid","1529-7268"
"Biometrics","Hybrid","1541-0420"
"Biometrika","Hybrid","1464-3510"
"BioScience","Hybrid","1525-3244"
"Bioscience, Biotechnology, and Biochemistry","Hybrid","1347-6947"
"Biostatistics","Hybrid","1468-4357"
"Botanical Journal of the Linnean Society","Hybrid","1095-8339"
"Brain","Hybrid","1460-2156"
"British Journal of Aesthetics","Hybrid","1468-2842"
"British Journal Of Criminology","Hybrid","1464-3529"
"British Journal of Dermatology","Hybrid","1365-2133"
"British Journal of Radiology","Hybrid","1748-880X"
"British Journal of Surgery","Hybrid","1365-2168"
"British Medical Bulletin","Hybrid","1471-8391"
"Bulletin of the Chemical Society of Japan","Hybrid","1348-0634"
"Bulletin of the Institute of Classical Studies","Hybrid","2041-5370"
"Cambridge Journal Of Economics","Hybrid","1464-3545"
"Cambridge Journal Of Regions, Economy And Society","Hybrid","1752-1386"
"Capital Markets Law Journal","Hybrid","1750-7227"
"Carcinogenesis","Hybrid","1460-2180"
"Cardiovascular Research","Hybrid","1755-3245"
"Cerebral Cortex","Hybrid","1460-2199"
"Chemical Senses","Hybrid","1464-3553"
"Chemistry Letters","Hybrid","1348-0715"
"Chinese Journal of International Law","Hybrid","1746-9937"
"Christian Bioethics","Hybrid","1744-4195"
"Classical Receptions Journal","Hybrid","1759-5142"
"Clinical & Experimental Immunology","Hybrid","1365-2249"
"Clinical and Experimental Dermatology","Hybrid","1365-2230"
"Clinical Chemistry","Hybrid","1530-8561"
"Clinical Infectious Diseases","Hybrid","1537-6591"
"Communication Theory","Hybrid","1468-2885"
"Communication, Culture and Critique","Hybrid","1753-9137"
"Community Development Journal","Hybrid","1468-2656"
"Contemporary Women's Writing","Hybrid","1754-1484"
"Contributions To Political Economy","Hybrid","1464-3588"
"Current Legal Problems","Hybrid","2044-8422"
"Dentomaxillofacial Radiology","Hybrid","1476-542X"
"Digital Scholarship in the Humanities","Hybrid","2055-768X"
"Diplomatic History","Hybrid","1467-7709"
"Diseases of the Esophagus","Hybrid","1442-2050"
"Early Music","Hybrid","1741-7260"
"Economic Policy","Hybrid","1468-0327"
"Elt Journal","Hybrid","1477-4526"
"Endocrine Reviews","Hybrid","1945-7189"
"Endocrinology","Hybrid","1945-7170"
"English","Hybrid","1756-1124"
"Environmental Entomology","Hybrid","1938-2936"
"Environmental Toxicology and Chemistry","Hybrid","1552-8618"
"Epidemiologic Reviews","Hybrid","1478-6729"
"Essays In Criticism","Hybrid","1471-6852"
"European Heart Journal","Hybrid","1522-9645"
"European Heart Journal - Cardiovascular Imaging","Hybrid","2047-2412"
"European Heart Journal - Quality of Care and Clinical Outcomes","Hybrid","2058-1742"
"European Heart Journal: Acute Cardiovascular Care","Hybrid","2048-8734"
"European Journal of Cardio-Thoracic Surgery","Hybrid","1873-734X"
"European Journal of Cardiovascular Nursing","Hybrid","1873-1953"
"European Journal of Endocrinology","Hybrid","1479-683X"
"European Journal Of International Law","Hybrid","1464-3596"
"European Journal of Orthodontics","Hybrid","1460-2210"
"European Journal of Preventive Cardiology","Hybrid","2047-4881"
"European Review Of Agricultural Economics","Hybrid","1464-3618"
"European Review of Economic History","Hybrid","1474-0044"
"European Sociological Review","Hybrid","1468-2672"
"Evolution","Hybrid","1558-5646"
"Family Practice","Hybrid","1460-2229"
"FEMS Microbiology Letters","Hybrid","1574-6968"
"Fish Magazine","Hybrid","1548-8446"
"Foreign Policy Analysis","Hybrid","1743-8594"
"Forestry: An International Journal Of Forest Research","Hybrid","1464-3626"
"Forum For Modern Language Studies","Hybrid","1471-6860"
"French History","Hybrid","1477-4542"
"Genetics","Hybrid","1943-2631"
"German History","Hybrid","1477-089X"
"Glycobiology","Hybrid","1460-2423"
"GRUR International","Hybrid","2632-8550"
"Health Education Research","Hybrid","1465-3648"
"Health Promotion International","Hybrid","1460-2245"
"Historical Research","Hybrid","1468-2281"
"History Workshop Journal","Hybrid","1477-4569"
"Holocaust And Genocide Studies","Hybrid","1476-7937"
"Human Communication Research","Hybrid","1468-2958"
"Human Molecular Genetics","Hybrid","1460-2083"
"Human Reproduction","Hybrid","1460-2350"
"Human Reproduction Update","Hybrid","1460-2369"
"Human Rights Law Review","Hybrid","1744-1021"
"ICSID Review - Foreign Investment Law Journal","Hybrid","2049-1999"
"IMA Journal of Applied Mathematics","Hybrid","1464-3634"
"IMA Journal Of Management Mathematics","Hybrid","1471-6798"
"Ima Journal Of Mathematical Control And Information","Hybrid","1471-6887"
"Ima Journal Of Numerical Analysis","Hybrid","1464-3642"
"Industrial And Corporate Change","Hybrid","1464-3650"
"Industrial Law Journal","Hybrid","1464-3669"
"Inflammatory Bowel Diseases","Hybrid","1536-4844"
"Information and Inference: a journal of the IMA","Hybrid","2049-8772"
"Insect Systematics and Diversity","Hybrid","2399-3421"
"Integrated Environmental Assessment and Management","Hybrid","1551-3793"
"Integrative And Comparative Biology","Hybrid","1557-7023"
"Integrative Biology","Hybrid","1757-9708"
"Interacting with Computers","Hybrid","1873-7951"
"International Affairs","Hybrid","1468-2346"
"International Data Privacy Law","Hybrid","2044-4001"
"International Immunology","Hybrid","1460-2377"
"International Journal For Quality In Health Care","Hybrid","1464-3677"
"International Journal Of Constitutional Law","Hybrid","1474-2659"
"International Journal Of Epidemiology","Hybrid","1464-3685"
"International Journal Of Law And Information Technology","Hybrid","1464-3693"
"International Journal Of Law, Policy And The Family","Hybrid","1464-3707"
"International Journal Of Lexicography","Hybrid","1477-4577"
"International Journal of Pharmacy Practice","Hybrid","2042-7174"
"International Journal Of Public Opinion Research","Hybrid","1471-6909"
"International Journal Of Refugee Law","Hybrid","1464-3715"
"International Journal Of Transitional Justice","Hybrid","1752-7724"
"International Mathematics Research Notices","Hybrid","1687-0247"
"International Political Sociology","Hybrid","1749-5687"
"International Relations Of The Asia-pacific","Hybrid","1470-4838"
"International Studies Perspectives","Hybrid","1528-3585"
"International Studies Quarterly","Hybrid","1468-2478"
"International Studies Review","Hybrid","1468-2486"
"ISLE: Interdisciplinary Studies in Literature and Environment","Hybrid","1759-1090"
"Japanese Journal Of Clinical Oncology","Hybrid","1465-3621"
"Jerusalem Review of Legal Studies","Hybrid","2219-7117"
"Journal Of African Economies","Hybrid","1464-3723"
"Journal of American History","Hybrid","1945-2314"
"Journal of Analytical Toxicology","Hybrid","1945-2403"
"Journal of Animal Science","Hybrid","1525-3163"
"Journal of Antimicrobial Chemotherapy","Hybrid","1460-2091"
"Journal of Antitrust Enforcement","Hybrid","2050-0696"
"Journal of AOAC International","Hybrid","1944-7922"
"Journal of Applied Microbiology","Hybrid","1365-2672"
"Journal of Aquatic Animal Health","Hybrid","1548-8667"
"Journal of Bone and Mineral Research","Hybrid","1523-4681"
"Journal of Breast Imaging","Hybrid","2631-6129"
"Journal of Burn Care & Research","Hybrid","1559-0488"
"Journal of Chromatographic Science","Hybrid","1945-239X"
"Journal of Church and State","Hybrid","2040-4867"
"Journal of Communication","Hybrid","1460-2466"
"Journal Of Competition Law & Economics","Hybrid","1744-6422"
"Journal of Complex Networks","Hybrid","2051-1329"
"Journal Of Conflict And Security Law","Hybrid","1467-7962"
"Journal of Consumer Research","Hybrid","1537-5277"
"Journal of Crohn’s and Colitis","Hybrid","1876-4479"
"Journal of Crustacean Biology","Hybrid","1937-240X"
"Journal Of Deaf Studies And Deaf Education","Hybrid","1465-7325"
"Journal Of Design History","Hybrid","1741-7279"
"Journal of Economic Entomology","Hybrid","1938-291X"
"Journal Of Economic Geography","Hybrid","1468-2710"
